Source.Name,Game Completed Date,Team,Outcome,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Rank Change,Region/Game Code,,,,
User1,12/13/2020 at 12:41:55 am EST,Imposter,Win,2,08m 05s,No,N/A,+++,Europe / QIRTNF,,,Outcome Frequency,
User1,12/11/2020 at 2:04:26 pm EST,Imposter,Loss,3,15m 52s,Yes,N/A,-,Europe / ONSJWQ,,,Win,261
User1,12/10/2020 at 10:41:43 pm EST,Imposter,Loss,2,18m 01s,No,N/A,-,NA / EYNONF,,,Loss,205
User1,12/10/2020 at 12:30:51 am EST,Imposter,Loss,1,02m 35s,Yes,N/A,N/A,Europe / KTQRWQ,,,,
User1,12/09/2020 at 11:52:22 pm EST,Imposter,Loss,2,19m 39s,No,N/A,-,Europe / BNDUNF,,,,
User1,12/09/2020 at 11:18:13 pm EST,Imposter,Win,5,12m 43s,No,N/A,+++,Europe / BNDUNF,,,,
User1,12/09/2020 at 10:49:00 pm EST,Imposter,Win,1,15m 50s,No,N/A,+++,Europe / BNDUNF,,,,
User1,12/09/2020 at 10:13:30 pm EST,Imposter,Loss,2,14m 59s,No,N/A,-,Europe / BNDUNF,,,,
User1,12/09/2020 at 9:06:43 pm EST,Imposter,Loss,2,12m 54s,Yes,N/A,-,Europe / EUUZDF,,,,
User1,12/09/2020 at 12:39:08 am EST,Imposter,Win,1,18m 16s,No,N/A,+++,NA / TVPSDF,,,,
User1,12/08/2020 at 11:27:16 pm EST,Imposter,Win,3,11m 55s,No,N/A,+++,Europe / VTTXQQ,,,,
User1,12/08/2020 at 10:03:02 pm EST,Imposter,Win,2,12m 36s,No,N/A,+++,Europe / VTTXQQ,,,,
User1,12/08/2020 at 9:47:41 pm EST,Imposter,Loss,1,01m 28s,Yes,N/A,N/A,Europe / RLNKUF,,,,
User1,12/08/2020 at 12:30:22 am EST,Imposter,Win,3,08m 55s,No,N/A,+++,NA / FATWCF,,,,
User1,12/07/2020 at 11:24:17 pm EST,Imposter,Win,5,05m 40s,No,N/A,+++,NA / IKPWHF,,,,
User1,12/07/2020 at 10:18:22 pm EST,Imposter,Win,2,07m 46s,No,N/A,+++,NA / IKPWHF,,,,
User1,12/07/2020 at 10:01:00 pm EST,Imposter,Win,0,00m 00s,No,N/A,N/A,NA / RTAXDF,,,,
User1,12/07/2020 at 8:58:39 pm EST,Imposter,Loss,2,10m 34s,Yes,N/A,-,NA / ITURDF,,,,
User1,12/06/2020 at 9:31:27 pm EST,Imposter,Loss,1,11m 31s,No,N/A,--,NA / JKQLUF,,,,
User1,12/06/2020 at 3:14:08 pm EST,Imposter,Win,2,11m 59s,No,N/A,+++,Europe / HRGJOF,,,,
User1,12/06/2020 at 2:57:33 pm EST,Imposter,Win,2,00m 49s,No,N/A,N/A,Europe / HRGJOF,,,,
User1,12/06/2020 at 2:55:28 pm EST,Imposter,Win,3,08m 47s,No,N/A,+++,Europe / HRGJOF,,,,
User1,12/05/2020 at 11:45:54 pm EST,Imposter,Win,4,21m 23s,No,N/A,+++,Europe / RUFQCF,,,,
User10,12/13/2020 at 4:20:16 pm EST,Imposter,Loss,2,05m 36s,No,N/A,-,NA / GTJRIF,,,,
User10,12/13/2020 at 3:44:47 pm EST,Imposter,Loss,3,15m 04s,No,N/A,-,NA / GTJRIF,,,,
User10,12/11/2020 at 3:10:56 pm EST,Imposter,Loss,1,11m 00s,Yes,N/A,--,Europe / BFRJCF,,,,
User10,12/11/2020 at 2:53:26 pm EST,Imposter,Loss,1,18m 01s,Yes,N/A,--,Europe / BFRJCF,,,,
User10,12/11/2020 at 2:20:37 pm EST,Imposter,Win,2,14m 25s,No,N/A,+++,Europe / ONSJWQ,,,,
User10,12/11/2020 at 11:17:48 am EST,Imposter,Loss,3,06m 51s,No,N/A,-,NA / OHNBGF,,,,
User10,12/08/2020 at 9:31:17 pm EST,Imposter,Loss,0,07m 16s,No,N/A,--,Europe / RLNKUF,,,,
User10,12/08/2020 at 9:14:12 pm EST,Imposter,Loss,2,08m 50s,Yes,N/A,-,Europe / OUBRXQ,,,,
User10,12/08/2020 at 4:47:32 pm EST,Imposter,Win,3,00m 48s,No,N/A,N/A,Europe / LWIRQQ,,,,
User10,12/08/2020 at 4:45:30 pm EST,Imposter,Win,2,02m 25s,No,N/A,N/A,Europe / LWIRQQ,,,,
User10,12/08/2020 at 4:41:32 pm EST,Imposter,Win,1,04m 51s,No,N/A,N/A,Europe / LWIRQQ,,,,
User10,12/08/2020 at 4:21:22 pm EST,Imposter,Win,2,01m 42s,No,N/A,N/A,Europe / TVDBQQ,,,,
User10,12/06/2020 at 9:19:00 pm EST,Imposter,Loss,2,04m 35s,Yes,N/A,N/A,NA / NPLFEQ,,,,
User10,12/06/2020 at 3:06:12 pm EST,Imposter,Win,3,03m 35s,No,N/A,N/A,Europe / HLNTRQ,,,,
User10,12/05/2020 at 9:19:55 pm EST,Imposter,Win,2,03m 12s,No,N/A,N/A,NA / BSXYYQ,,,,
User10,12/05/2020 at 1:11:39 am EST,Imposter,Loss,2,08m 26s,Yes,N/A,-,NA / MOCDTQ,,,,
User10,12/05/2020 at 1:00:58 am EST,Imposter,Win,4,06m 12s,No,N/A,+++,NA / SSMMYQ,,,,
User10,12/04/2020 at 5:56:24 pm EST,Imposter,Loss,1,17m 22s,No,N/A,--,NA / NLKPHF,,,,
User10,12/04/2020 at 4:02:29 pm EST,Imposter,Win,2,06m 59s,No,N/A,+++,Europe / WTGAJF,,,,
User10,12/04/2020 at 2:37:06 pm EST,Imposter,Win,2,02m 11s,No,N/A,N/A,Europe / WJVDJF,,,,
User10,12/04/2020 at 2:33:15 pm EST,Imposter,Win,1,00m 29s,No,N/A,N/A,Europe / AKGECF,,,,
User10,12/03/2020 at 11:30:15 pm EST,Imposter,Win,1,07m 42s,No,N/A,+++,Europe / OUAACF,,,,
User10,12/03/2020 at 10:43:54 pm EST,Imposter,Win,3,13m 31s,No,N/A,+++,Europe / OUAACF,,,,
User10,12/03/2020 at 9:40:26 pm EST,Imposter,Loss,3,25m 20s,Yes,N/A,-,Europe / OUAACF,,,,
User11,12/13/2020 at 10:15:57 pm EST,Imposter,Loss,3,08m 38s,No,N/A,-,NA / GFAXDF,,,,
User11,12/13/2020 at 10:06:47 pm EST,Imposter,Win,3,07m 30s,No,N/A,+++,NA / GFAXDF,,,,
User11,12/13/2020 at 9:15:58 pm EST,Imposter,Loss,0,03m 37s,Yes,N/A,N/A,NA / GFAXDF,,,,
User11,12/09/2020 at 9:32:37 pm EST,Imposter,Loss,3,11m 40s,Yes,N/A,-,NA / LDTHVF,,,,
User11,12/09/2020 at 9:19:49 pm EST,Imposter,Win,4,09m 47s,No,N/A,+++,NA / LDTHVF,,,,
User11,12/08/2020 at 11:20:29 pm EST,Imposter,Win,2,08m 46s,No,N/A,+++,NA / DTPRHF,,,,
User11,12/08/2020 at 10:49:55 pm EST,Imposter,Win,2,08m 00s,No,N/A,+++,NA / DTPRHF,,,,
User11,12/07/2020 at 10:18:28 pm EST,Imposter,Win,2,07m 48s,No,N/A,+++,NA / XVMZZF,,,,
User11,12/07/2020 at 9:56:50 pm EST,Imposter,Win,3,11m 49s,No,N/A,+++,NA / IKBYZF,,,,
User12,12/17/2020 at 2:23:17 am EST,Imposter,Win,2,09m 23s,No,N/A,+++,NA / NVAFCF,,,,
User12,12/17/2020 at 1:29:28 am EST,Imposter,Loss,1,14m 25s,No,N/A,--,NA / NVAFCF,,,,
User12,12/17/2020 at 12:00:34 am EST,Imposter,Win,1,08m 24s,No,N/A,+++,NA / NVAFCF,,,,
User12,12/16/2020 at 10:55:28 pm EST,Imposter,Loss,2,12m 33s,Yes,N/A,-,NA / VQXHFF,,,,
User12,12/16/2020 at 9:10:07 pm EST,Imposter,Loss,4,14m 41s,No,N/A,-,NA / RDVGNF,,,,
User12,12/16/2020 at 8:54:36 pm EST,Imposter,Loss,1,13m 44s,No,N/A,--,NA / RDVGNF,,,,
User12,12/16/2020 at 8:28:50 pm EST,Imposter,Win,4,10m 15s,No,N/A,+++,NA / UZSYCF,,,,
User12,12/16/2020 at 5:10:59 pm EST,Imposter,Loss,1,16m 16s,No,N/A,--,Europe / UPWUGF,,,,
User12,12/16/2020 at 1:34:52 am EST,Imposter,Loss,4,16m 07s,No,N/A,-,NA / FFNSNF,,,,
User12,12/16/2020 at 1:17:54 am EST,Imposter,Loss,3,16m 57s,No,N/A,-,NA / FFNSNF,,,,
User12,12/15/2020 at 2:40:34 am EST,Imposter,Win,1,10m 41s,Yes,N/A,+++,NA / JBLSZF,,,,
User12,12/08/2020 at 2:29:50 am EST,Imposter,Win,2,04m 33s,No,N/A,N/A,NA / HNXTJF,,,,
User12,12/08/2020 at 1:34:32 am EST,Imposter,Win,1,02m 37s,No,N/A,N/A,NA / FATWCF,,,,
User12,12/07/2020 at 10:18:21 pm EST,Imposter,Win,2,08m 25s,No,N/A,+++,NA / IKPWHF,,,,
User12,12/07/2020 at 2:07:09 am EST,Imposter,Loss,2,16m 02s,No,N/A,-,NA / HUTXKF,,,,
